teamId,oid,aid,title,subContent,sourceName,thumbnail,image,type,sectionId,sectionName,sportsSection,dateTime,count
SS,076,0004279705,'방망이 좀 못 치면 어때' 구자욱 결승 투런만큼 값졌다...이재현 '미친 슈퍼 캐치' [고척 현장],"22일 서울 고척스카이돔에서 열린 삼성-키움전. 8회말 무사 1, 2루 박주홍의 빗맞은 타구를 유격수 이재현이 따라가 잡고 있다. 고척=정재근 기자 cjg@sportschosun.com/2025.5.22/[고척=스포츠조선 김용 기자] 홈런만큼이나 더 값졌던 '슈퍼 캐치'야구에서 유격수, 포수는 공격보다 수비가 더 중요한...",스포츠조선,https://imgnews.pstatic.net/image/thumb154/076/2025/05/22/4279705.jpg,https://imgnews.pstatic.net/image/076/2025/05/22/2025052201001425000213351_20250522230719221.jpg,1,kbo,KBO리그,kbaseball,2025-05-22T23:07:19,5512
SS,396,0000710089,"‘팀 완봉승’ 박진만 감독의 미소 “레예스, 구자욱 그리고 이재현”",사진=삼성라이온즈 제공 팀 완봉승이다.   프로야구 삼성이 고척 원정길서 분위기 반전의 계기를 마련했다. 22일 서울 고척스카이돔에서 열린 키움과의 ‘2025 신한 쏠뱅크 KBO리그’ 경기서 2-0 승리를 거뒀다. 어느덧 3연승. 4월 25~27일 대구 NC전에 이어 시즌 두 번째 스윕승(3연전 싹쓸이승)을 거뒀다. 시즌...,스포츠월드,https://imgnews.pstatic.net/image/thumb154/396/2025/05/22/710089.jpg,https://imgnews.pstatic.net/image/396/2025/05/22/0000710089_001_20250522223213300.jpg,1,kbo,KBO리그,kbaseball,2025-05-22T22:32:13,7304
SS,003,0013260012,"레예스 7⅔이닝 무실점·구자욱 투런포…삼성, 키움전 11연승 질주","[서울=뉴시스] 김근수 기자 = 22일 서울 구로구 고척스카이돔에서 열린 2025 KBO리그 삼성 라이온즈와 키움 히어로즈의 경기, 7회말 삼성 선발투수 레예스가 역투하고 있다. 2025.05.22. ks@newsis.com[서울=뉴시스]김희준 기자 = 프로야구 삼성 라이온즈가 키움 히어로즈와의 3연전을 모두 승리로 장식...",뉴시스,https://imgnews.pstatic.net/image/thumb154/003/2025/05/22/13260012.jpg,https://imgnews.pstatic.net/image/003/2025/05/22/NISI20250522_0020821537_web_20250522202853_20250522223023978.jpg,1,kbo,KBO리그,kbaseball,2025-05-22T21:15:38,3213
SS,088,0000949359,"'레예스 역투+구자욱 결승포' 삼성 라이온즈, 키움 꺾고 3연승 질주",삼성 라이온즈의 데니 레예스가 22일 서울 고척스카이돔에서 열린 키움 히어로즈와의 경기에 선발 등판해 역투하고 있다. 삼성 제공3연패에서 탈출한 이후 3연승으로 반등의 계기를 마련했다. 삼성 라이온즈가 프로야구 서울 원정에서 키움 히어로즈와의 3연전을 모두 승리로 이끌었다.삼성은 22일 서울 고척스카이돔에서 키움을 2대0...,매일신문,https://imgnews.pstatic.net/image/thumb154/088/2025/05/22/949359.jpg,https://imgnews.pstatic.net/image/088/2025/05/22/0000949359_001_20250522211309464.jpg,1,kbo,KBO리그,kbaseball,2025-05-22T21:13:09,2447
SS,001,0015406064,[프로야구 고척전적] 삼성 2-0 키움,▲ 고척전적(22일) 삼성 000 000 020 - 2 키움 000 000 000 - 0 △ 승리투수 = 레예스(4승3패) △ 세이브투수 = 이호성(3승1패2세이브) △ 패전투수 = 양지율(1패) △ 홈런 = 구자욱 9호(8회2점·삼성) (서울=연합뉴스),연합뉴스,,,0,kbo,KBO리그,kbaseball,2025-05-22T21:10:37,51
SS,109,0005311796,"'레예스 무실점 호투+구자욱 결승 홈런' 삼성, 싹쓸이 3연승으로 반등…키움 4연패 수렁 [고척 리뷰]","[OSEN=고척, 김성락 기자] 22일 오후 서울 고척스카이돔에서 2025 신한 SOL Bank KBO리그 키움 히어로즈와 삼성 라이온즈의 경기가 열렸다.키움은 김연주, 삼성은 레예스를 선발 투수로 내세웠다.8회초 2사 2루 삼성 구자욱이 선취 2점 홈런을 날린 뒤 세리머니를 하고 있다. 2025.05.22 / ksl09...",OSEN,https://imgnews.pstatic.net/image/thumb154/109/2025/05/22/5311796.jpg,https://imgnews.pstatic.net/image/109/2025/05/22/0005311796_001_20250522210820897.jpg,1,kbo,KBO리그,kbaseball,2025-05-22T21:08:20,4205
SS,108,0003331431,"레예스 '7⅔이닝 압권투'-구자욱 '14G 만에 대포', 삼성은 질 수 없었다... '키움에 3연승' 상위권 도약 보인다 [고척 현장리뷰]",[스타뉴스 | 고척=안호근 기자] 삼성 구자욱(왼쪽)이 22일 키움전 8회초 투런 홈런을 작렬한 뒤 1루 베이스를 돌고 있다. /사진=강영조 선임기자구자욱의 홈런에 환호하는 삼성 팬들. /사진=강영조 선임기자삼성 라이온즈가 데니 레예스와 구자욱의 쌍끌이로 3연승 신바람을 냈다.삼성은 22일 서울 고척스카이돔에서 열린 키움...,스타뉴스,https://imgnews.pstatic.net/image/thumb154/108/2025/05/22/3331431.jpg,https://imgnews.pstatic.net/image/108/2025/05/22/0003331431_001_20250522221710231.jpg,1,kbo,KBO리그,kbaseball,2025-05-22T21:07:35,6289
SS,076,0004279653,"'구자욱 8회 극적 결승 투런-레예스 4승 완벽투' 삼성, 키움 스윕...3연패 후 3연승 [고척 현장]",22일 서울 고척스카이돔에서 열린 삼성-키움전. 8회초 2사 2루 구자욱이 투런포를 친 후 환호하고 있다. 고척=정재근 기자 cjg@sportschosun.com/2025.5.22/[고척=스포츠조선 김용 기자] 삼성이 키움과의 3연전을 싹쓸이했다. 중위권 싸움에 다시 불을 붙이게 됐다. 삼성 라이온즈는 22일 고척스카이돔...,스포츠조선,https://imgnews.pstatic.net/image/thumb154/076/2025/05/22/4279653.jpg,https://imgnews.pstatic.net/image/076/2025/05/22/2025052201001424800213331_20250522210713754.jpg,1,kbo,KBO리그,kbaseball,2025-05-22T21:07:13,17885
SS,144,0001041499,"3연패→3연승, 삼성 ‘유종의 미’는 캡틴이 장식한다···구자욱 2점 홈런 힘입어 키움전 위닝 시리즈[스경X현장]",삼성 구자욱. 삼성 라이온즈 제공삼성 구자욱이 삼성의 3연승을 완성했다.삼성은 22일 서울 고척스카이돔에서 열린 키움과의 경기에서 2-0으로 이겼다. 이날 승리로 삼성은 키움과의 경기를 스윕승으로 마무리했다. 키움 시리즈 전 3연패에 빠져 있던 삼성은 이번 3연승으로 다시 동력을 찾았다.22일 승리의 주역은 구자욱이었다....,스포츠경향,https://imgnews.pstatic.net/image/thumb154/144/2025/05/22/1041499.jpg,https://imgnews.pstatic.net/image/144/2025/05/22/0001041499_001_20250522212711650.jpg,1,kbo,KBO리그,kbaseball,2025-05-22T21:07:13,2853
SS,477,0000551513,"구자욱 결승포→레예스 7⅔이닝 무실점→이재현 슈퍼맨 캐치…삼성, 키움 상대 3연전 싹쓸이","▲ 삼성 구자욱은 22일 서울 고척스카이돔에서 열린 키움 히어로즈와 경기에서 8회초 결승 2점 홈런을 터트렸다. ⓒ 삼성 라이온즈▲ 데니 레예스 ⓒ곽혜미 기자[스포티비뉴스=고척, 신원철 기자] 삼성이 구자욱의 결승 홈런과 데니 레예스의 호투, 이재현의 호수비에 힘입어 3연승을 달렸다. 삼성 라이온즈는 22일 서울 고척스카...",스포티비뉴스,https://imgnews.pstatic.net/image/thumb154/477/2025/05/22/551513.jpg,https://imgnews.pstatic.net/image/477/2025/05/22/0000551513_001_20250522210712484.jpg,1,kbo,KBO리그,kbaseball,2025-05-22T21:07:12,566
SS,396,0000710087,[SW고척] 병살로 날린 기회? 구자욱은 결승 투런포로 갚았다,"사진=삼성라이온즈 제공 강력한 ‘캡틴’의 한 방, 승리를 불렀다.   프로야구 삼성이 포효했다. 22일 서울 고척스카이돔에서 열린 키움과의 ‘2025 신한 쏠뱅크 KBO리그’ 원정경기서 2-0 승리를 거뒀다. 주중 시리즈를 모두 거머쥐며 3연승을 내달렸다. 삼성이 올 시즌 스윕승(3연전 싹쓸이승)을 거둔 것은 이번이 두...",스포츠월드,https://imgnews.pstatic.net/image/thumb154/396/2025/05/22/710087.jpg,https://imgnews.pstatic.net/image/396/2025/05/22/0000710087_001_20250522212817274.jpg,1,kbo,KBO리그,kbaseball,2025-05-22T21:07:11,253
SS,396,0000710080,곳곳에서 울려 퍼지는 김지찬 찬양가 “큰 역할”,"사진=삼성라이온즈 제공 “(김)지찬이 역할이 큰 것 같아요.” 프로야구 삼성이 조금씩 속도를 높이려 한다. 지난 20~21일 키움과의 경기를 잡으며 분위기 반전을 꾀했다. 5월 들어 작성한 첫 연승. 승차가 없긴 하지만, 8위까지 떨어졌던 순위도 한 계단 끌어올렸다. 중심에 ‘돌아온’ 김지찬이 있다. 이틀간 8타수 4안타...",스포츠월드,https://imgnews.pstatic.net/image/thumb154/396/2025/05/22/710080.jpg,https://imgnews.pstatic.net/image/396/2025/05/22/0000710080_001_20250522194710998.jpg,1,kbo,KBO리그,kbaseball,2025-05-22T19:47:10,2508
